year,month,year_month,gender,usertype,age,number_trips,tripduration
2015,11,2015-11,2,Subscriber,47,19,16147
2015,11,2015-11,2,Subscriber,48,65,55205
2015,11,2015-11,2,Subscriber,49,132,88119
2015,11,2015-11,2,Subscriber,50,32,25856
2015,11,2015-11,2,Subscriber,51,17,9742
2015,11,2015-11,2,Subscriber,52,62,46909
2015,11,2015-11,2,Subscriber,53,25,22237
2015,11,2015-11,2,Subscriber,54,6,3471
2015,11,2015-11,2,Subscriber,55,6,66428
2015,11,2015-11,2,Subscriber,56,98,49839
2015,11,2015-11,2,Subscriber,57,16,12903
2015,11,2015-11,2,Subscriber,58,37,40240
2015,11,2015-11,2,Subscriber,59,16,13316
2015,11,2015-11,2,Subscriber,60,13,11101
2015,11,2015-11,2,Subscriber,61,61,47766
2015,11,2015-11,2,Subscriber,62,16,18956
2015,11,2015-11,2,Subscriber,63,17,7831
2015,11,2015-11,2,Subscriber,64,18,10310
2015,11,2015-11,2,Subscriber,66,26,26687
2015,11,2015-11,2,Subscriber,67,2,1138
2015,11,2015-11,2,Subscriber,71,4,2900
2015,11,2015-11,2,Subscriber,73,3,3734
2015,12,2015-12,0,Customer,,720,8594107
2015,12,2015-12,0,Subscriber,27,18,10107
2015,12,2015-12,0,Subscriber,40,1,179
2015,12,2015-12,0,Subscriber,47,1,453
2015,12,2015-12,1,Subscriber,21,1,1108
2015,12,2015-12,1,Subscriber,26,25,21589
2015,12,2015-12,1,Subscriber,27,27,6870
2015,12,2015-12,1,Subscriber,28,219,102749
2015,12,2015-12,1,Subscriber,29,173,104111
2015,12,2015-12,1,Subscriber,30,292,156670
2015,12,2015-12,1,Subscriber,31,359,180553
2015,12,2015-12,1,Subscriber,32,232,111184
2015,12,2015-12,1,Subscriber,33,276,151671
2015,12,2015-12,1,Subscriber,34,410,277882
2015,12,2015-12,1,Subscriber,35,341,196458
2015,12,2015-12,1,Subscriber,36,551,263351
2015,12,2015-12,1,Subscriber,37,511,258298
2015,12,2015-12,1,Subscriber,38,360,160085
2015,12,2015-12,1,Subscriber,39,468,198272
2015,12,2015-12,1,Subscriber,40,483,265241
2015,12,2015-12,1,Subscriber,41,328,134577
2015,12,2015-12,1,Subscriber,42,252,125818
2015,12,2015-12,1,Subscriber,43,238,131522
2015,12,2015-12,1,Subscriber,44,493,341600
2015,12,2015-12,1,Subscriber,45,142,95786
2015,12,2015-12,1,Subscriber,46,124,58502
2015,12,2015-12,1,Subscriber,47,162,61857
2015,12,2015-12,1,Subscriber,48,271,122689
2015,12,2015-12,1,Subscriber,49,92,105234
2015,12,2015-12,1,Subscriber,50,280,166505
2015,12,2015-12,1,Subscriber,51,133,79649
2015,12,2015-12,1,Subscriber,52,188,86338
2015,12,2015-12,1,Subscriber,53,72,56516
2015,12,2015-12,1,Subscriber,54,41,26661
2015,12,2015-12,1,Subscriber,55,66,84717
2015,12,2015-12,1,Subscriber,56,88,33884
2015,12,2015-12,1,Subscriber,57,161,85990
2015,12,2015-12,1,Subscriber,58,121,93642
2015,12,2015-12,1,Subscriber,59,79,37297
2015,12,2015-12,1,Subscriber,60,181,106792
2015,12,2015-12,1,Subscriber,61,54,54629
2015,12,2015-12,1,Subscriber,62,9,3508
2015,12,2015-12,1,Subscriber,63,52,43765
2015,12,2015-12,1,Subscriber,64,164,94960
2015,12,2015-12,1,Subscriber,65,18,13657
2015,12,2015-12,1,Subscriber,66,80,44844
2015,12,2015-12,1,Subscriber,67,14,6048
2015,12,2015-12,1,Subscriber,68,12,6503
2015,12,2015-12,1,Subscriber,69,22,25223
2015,12,2015-12,1,Subscriber,70,23,16261
2015,12,2015-12,1,Subscriber,71,15,6782
2015,12,2015-12,1,Subscriber,73,16,13613
2015,12,2015-12,1,Subscriber,74,2,1667
2015,12,2015-12,1,Subscriber,76,5,5209
2015,12,2015-12,1,Subscriber,79,9,2406
2015,12,2015-12,2,Subscriber,22,1,116
2015,12,2015-12,2,Subscriber,24,19,8943
2015,12,2015-12,2,Subscriber,26,1,476
2015,12,2015-12,2,Subscriber,27,14,5192
2015,12,2015-12,2,Subscriber,28,4,1980
2015,12,2015-12,2,Subscriber,29,76,50929
2015,12,2015-12,2,Subscriber,30,106,59332
2015,12,2015-12,2,Subscriber,31,106,55087
2015,12,2015-12,2,Subscriber,32,169,81268
2015,12,2015-12,2,Subscriber,33,161,82302
2015,12,2015-12,2,Subscriber,34,95,45095
2015,12,2015-12,2,Subscriber,35,133,61675
2015,12,2015-12,2,Subscriber,36,176,80771
2015,12,2015-12,2,Subscriber,37,107,46469
2015,12,2015-12,2,Subscriber,38,105,44708
2015,12,2015-12,2,Subscriber,39,128,48670
2015,12,2015-12,2,Subscriber,40,73,33035
2015,12,2015-12,2,Subscriber,41,16,7904
2015,12,2015-12,2,Subscriber,42,105,44717
2015,12,2015-12,2,Subscriber,43,112,170356
2015,12,2015-12,2,Subscriber,44,77,51205
2015,12,2015-12,2,Subscriber,45,29,19988
2015,12,2015-12,2,Subscriber,46,9,3330
2015,12,2015-12,2,Subscriber,47,13,14790
2015,12,2015-12,2,Subscriber,48,69,28708
2015,12,2015-12,2,Subscriber,49,112,77513
2015,12,2015-12,2,Subscriber,50,44,230896
2015,12,2015-12,2,Subscriber,51,17,8955
2015,12,2015-12,2,Subscriber,52,21,12575
2015,12,2015-12,2,Subscriber,53,4,3608
2015,12,2015-12,2,Subscriber,54,10,5674
2015,12,2015-12,2,Subscriber,55,3,1859
2015,12,2015-12,2,Subscriber,56,95,54777
2015,12,2015-12,2,Subscriber,57,9,6986
2015,12,2015-12,2,Subscriber,58,33,38221
2015,12,2015-12,2,Subscriber,59,4,3437
2015,12,2015-12,2,Subscriber,60,14,83494
2015,12,2015-12,2,Subscriber,61,31,43195
2015,12,2015-12,2,Subscriber,62,7,7333
2015,12,2015-12,2,Subscriber,63,5,2336
2015,12,2015-12,2,Subscriber,64,15,7709
2015,12,2015-12,2,Subscriber,66,28,14829
2015,12,2015-12,2,Subscriber,67,2,1209
2015,12,2015-12,2,Subscriber,68,4,1033
2015,12,2015-12,2,Subscriber,71,1,362
2016,01,2016-01,0,Customer,,302,2375743
2016,01,2016-01,0,Subscriber,27,6,3115
2016,01,2016-01,1,Subscriber,22,2,1754
2016,01,2016-01,1,Subscriber,25,1,908
2016,01,2016-01,1,Subscriber,26,10,6217
2016,01,2016-01,1,Subscriber,27,14,5966
2016,01,2016-01,1,Subscriber,28,188,95609
2016,01,2016-01,1,Subscriber,29,149,114556
2016,01,2016-01,1,Subscriber,30,174,81185
2016,01,2016-01,1,Subscriber,31,284,136357
2016,01,2016-01,1,Subscriber,32,132,63552
2016,01,2016-01,1,Subscriber,33,138,77083
2016,01,2016-01,1,Subscriber,34,177,66953
2016,01,2016-01,1,Subscriber,35,160,80242
2016,01,2016-01,1,Subscriber,36,388,154502
2016,01,2016-01,1,Subscriber,37,220,94809
2016,01,2016-01,1,Subscriber,38,259,93217
2016,01,2016-01,1,Subscriber,39,306,143086
2016,01,2016-01,1,Subscriber,40,301,116194
2016,01,2016-01,1,Subscriber,41,259,97579
2016,01,2016-01,1,Subscriber,42,174,79104
2016,01,2016-01,1,Subscriber,43,246,117464
2016,01,2016-01,1,Subscriber,44,354,145976
2016,01,2016-01,1,Subscriber,45,87,68815
2016,01,2016-01,1,Subscriber,46,78,31452
2016,01,2016-01,1,Subscriber,47,127,56410
2016,01,2016-01,1,Subscriber,48,150,51414
2016,01,2016-01,1,Subscriber,49,61,22790
2016,01,2016-01,1,Subscriber,50,178,92889
2016,01,2016-01,1,Subscriber,51,95,43963
2016,01,2016-01,1,Subscriber,52,115,49947
2016,01,2016-01,1,Subscriber,53,82,46431
2016,01,2016-01,1,Subscriber,54,24,15708
2016,01,2016-01,1,Subscriber,55,52,33411
2016,01,2016-01,1,Subscriber,56,52,129367
2016,01,2016-01,1,Subscriber,57,97,103712
2016,01,2016-01,1,Subscriber,58,90,29987
2016,01,2016-01,1,Subscriber,59,23,15726
2016,01,2016-01,1,Subscriber,60,135,79723
2016,01,2016-01,1,Subscriber,61,35,21877
2016,01,2016-01,1,Subscriber,62,10,4138
2016,01,2016-01,1,Subscriber,63,25,14035
2016,01,2016-01,1,Subscriber,64,111,54259
2016,01,2016-01,1,Subscriber,65,10,4682
2016,01,2016-01,1,Subscriber,66,33,15316
2016,01,2016-01,1,Subscriber,67,9,10285
2016,01,2016-01,1,Subscriber,68,2,955
2016,01,2016-01,1,Subscriber,69,16,14031
2016,01,2016-01,1,Subscriber,70,30,27554
2016,01,2016-01,1,Subscriber,71,16,5594
2016,01,2016-01,1,Subscriber,72,4,1478
2016,01,2016-01,1,Subscriber,73,1,684
2016,01,2016-01,1,Subscriber,75,2,5967
2016,01,2016-01,1,Subscriber,76,3,3705
2016,01,2016-01,1,Subscriber,79,8,2024
2016,01,2016-01,2,Subscriber,22,3,5161
2016,01,2016-01,2,Subscriber,24,12,4523
2016,01,2016-01,2,Subscriber,25,1,1559
2016,01,2016-01,2,Subscriber,27,5,1449
2016,01,2016-01,2,Subscriber,28,1,700
2016,01,2016-01,2,Subscriber,29,63,38401
2016,01,2016-01,2,Subscriber,30,62,23190
2016,01,2016-01,2,Subscriber,31,32,13322
2016,01,2016-01,2,Subscriber,32,104,49074
2016,01,2016-01,2,Subscriber,33,118,48532
2016,01,2016-01,2,Subscriber,34,79,36445
2016,01,2016-01,2,Subscriber,35,80,26291
2016,01,2016-01,2,Subscriber,36,90,37663
2016,01,2016-01,2,Subscriber,37,51,71237
2016,01,2016-01,2,Subscriber,38,76,259950
2016,01,2016-01,2,Subscriber,39,97,59874
2016,01,2016-01,2,Subscriber,40,21,8617
2016,01,2016-01,2,Subscriber,41,11,6972
2016,01,2016-01,2,Subscriber,42,63,30414
2016,01,2016-01,2,Subscriber,43,105,324840
2016,01,2016-01,2,Subscriber,44,44,19120
2016,01,2016-01,2,Subscriber,45,43,19012
2016,01,2016-01,2,Subscriber,46,11,8509
2016,01,2016-01,2,Subscriber,47,5,4946
2016,01,2016-01,2,Subscriber,48,58,24295
2016,01,2016-01,2,Subscriber,49,58,39132
2016,01,2016-01,2,Subscriber,50,10,52409
2016,01,2016-01,2,Subscriber,51,3,902
2016,01,2016-01,2,Subscriber,52,16,29855
2016,01,2016-01,2,Subscriber,53,3,4693
2016,01,2016-01,2,Subscriber,54,10,5311
2016,01,2016-01,2,Subscriber,55,1,712
2016,01,2016-01,2,Subscriber,56,51,38703
2016,01,2016-01,2,Subscriber,57,6,2569
2016,01,2016-01,2,Subscriber,58,32,14850
2016,01,2016-01,2,Subscriber,59,7,4989
2016,01,2016-01,2,Subscriber,60,7,4209
2016,01,2016-01,2,Subscriber,61,8,7125
2016,01,2016-01,2,Subscriber,62,1,468
2016,01,2016-01,2,Subscriber,63,2,1311
2016,01,2016-01,2,Subscriber,64,7,3817
2016,01,2016-01,2,Subscriber,66,17,7581
2016,02,2016-02,0,Customer,,330,879331
2016,02,2016-02,0,Subscriber,27,8,5454
2016,02,2016-02,1,Subscriber,21,4,3819
2016,02,2016-02,1,Subscriber,22,1,305
2016,02,2016-02,1,Subscriber,25,2,764
2016,02,2016-02,1,Subscriber,26,5,3923
2016,02,2016-02,1,Subscriber,27,19,9745
2016,02,2016-02,1,Subscriber,28,178,73293
2016,02,2016-02,1,Subscriber,29,190,103151
2016,02,2016-02,1,Subscriber,30,198,130174
2016,02,2016-02,1,Subscriber,31,313,192232
